text,clean_text
"И еще, когда я вижу, как кто-то Сникерс ест",и ещё когда я видеть как сникерс есть
"Эй, малышка, ты змея, давай ползи на шест",эй малышка ты змея давать ползти на шест
"Каждый день говорю, глядя в зеркало: Ты не шерсть",каждый день говорить глядеть в зеркало ты не шерсть
Если стоя в очереди резко развернусь,если стоя в очередь резко развернуться
То не увижу там тебя,то не увидеть там ты
Ведь увижу чей-то ремень (Давай),ведь увидеть ремень давать
"Эй, sexy lady, я — твой sugar daddy",эй sexy lady я твой sugar daddy
"Пусть кричат соседи, пусть пишут заявы (У, эй)",пусть кричать сосед пусть писать заява у эй
"Эй, sexy lady, я — твой sugar daddy",эй sexy lady я твой sugar daddy
"Ты украла сердце, я украл сценарий (У)",ты украсть сердце я украсть сценарий у
"О, о-о, о-о",о
"О, о-о, о-о",о
"Эй, ты как долг для Замая, ведь ты знаешь",эй ты как долг для замай ведь ты знать
"Что бы ни случилось, не отдам тебя, родная",что бы ни случиться не отдать ты родный
"Блять, детка, хватит влюблять, а",блядь детка хватить влюблять а
"Я как время иссяк, а",я как время иссякнуть а
"Мы потеряли себя, а",мы потерять себя а
"Как будто пенис толстяк, а",как будто пенис толстяк а
"Ты как маятник — то далеко, то близко",ты как маятник то далеко то близко
"Я ниче не знаю о тебе, моя ростуристка",я ничего не знать о ты мой ростуристка
"Да, я делал в своей жизни вещей много низких",да я делать в свой жизнь вещь много низкий
"Я не могу найти тебя, ты как Руслан и Лиззка",я не мочь найти ты ты как руслан и лиззка
"Я, кажется, влюбился",я казаться влюбиться
"Эй, sexy lady, я — твой sugar daddy",эй sexy lady я твой sugar daddy
"Пусть кричат соседи, пусть пишут заявы",пусть кричать сосед пусть писать заява
"Эй, sexy lady, я — твой sugar daddy",эй sexy lady я твой sugar daddy
"Ты украла сердце, я украл сценарий",ты украсть сердце я украсть сценарий
Оу,оу
"Я в клубе! (Клуб, клуб, клуб)",я в клуб клуб клуб клуб
Что сейчас я буду тусоваться с женщинами!,что сейчас я быть тусоваться с женщина
"Горячая сука, огромная задница",горячий сука огромный задница
"Я пришёл сюда, чтобы потрахаться",я прийти сюда чтобы потрахаться
"Девочки, двигаемся, не стесняемся, е",девочка двигаться не стесняться быть
Помоги мне расслабиться,помочь я расслабиться
"Сука, огромная задница",сука огромный задница
"Я пришёл сюда, чтобы потрахаться",я прийти сюда чтобы потрахаться
"Но я влюбился в эту красавицу, е",но я влюбиться в этот красавица быть
И мне это не нравится,и я это не нравиться
"Ха, секс, сиськи — это круто (оу)",ха секс сиська это круто оу
В этом клубе поцелую все твои губы (муа),в это клуб поцелуй всё твой губа муа
"Может это грубо, но я тот ещё ублюдок",мочь это грубо но я тот ещё ублюдок
"Со мной ебутся все в округе, я звезда Ютуба",с я ебиться всё в округ я звезда ютуба
"Я rockstar — это факт, и ты знаешь, boy (вoy)",я rockstar это факт и ты знать boy вoy
"Мой елдак, твой пердак, и у них любовь",мой елдак твой пердак и у они любовь
"Я самый лучший любовник, и суки это знают (я)",я самый хороший любовник и сука это знать я
Я спустил за один вечер пять долгов Замая (оу),я спустить за один вечер пять долг замай оу
Залетаю на биток мумбатон,залетать на биток мумбатон
Она говорит спасибо за музло и за блог,она говорить спасибо за музло и за блог
"Если я влетаю в дом, он становится публичным",если я влетать в дом он становиться публичный
"Я кормлю её белком, но не яичным",я кормить её белок но не яичный
Хотя в какой-то даже степени яичным,хотя в даже степень яичный
"Я ходячий секс, чувствую себя отлично",я ходячий секс чувствовать себя отлично
Ты не дала мне в первую же секунду знакомства,ты не дать я в первый же секунда знакомство
"О нет, я кажется влюбился",о нет я казаться влюбиться
"Горячая сука, огромная задница",горячий сука огромный задница
"Я пришёл сюда, чтобы потрахаться",я прийти сюда чтобы потрахаться
"Девочки, двигаемся, не стесняемся, е",девочка двигаться не стесняться быть
Помоги мне расслабиться,помочь я расслабиться
"Сука, огромная задница (Жопа)",сука огромный задница жопа
"Я пришёл сюда, чтобы потрахаться (у-у)",я прийти сюда чтобы потрахаться
"Но я влюбился в эту красавицу, е (любовь)",но я влюбиться в этот красавица быть любовь
И мне это не нравится,и я это не нравиться
Мне не нравится,я не нравиться
"Я думал, что я приду в клуб, и тут устрою перепихончик",я думать что я прийти в клуб и тут устроить перепихончик
"Ну, секс, ну, брум-брум, потрахушки, трахунчики",ну секс ну потрахушка трахунчик
"Ну... потрахончик, побурундучиться хотел",ну потрахончик побурундучиться хотеть
"Подраконить, разложить многочлен, так сказать",подраконить разложить многочлен так сказать
"Взять интервью, ну типа-па, как Ксения Собчак",взять интервью ну как ксения собчак
"Запарить лапшу, ну, вы поняли, а тут такое",запарить лапша ну вы понять а тут такой
"Так скажем, снял я сегодня влюблог, ха, и я такой:",так скажем снять я сегодня влюблог ха и я такой
"""Влюблин, ну какая же ты влюблядь""",влюблин ну какой же ты влюблядь
"Я не знаю до сих пор, как мне ответить на вопрос",я не знать до сей пора как я ответить на вопрос
Что мы вместе или врозь? Ненависть или любовь?,что мы вместе или врозь ненависть или любовь
"Скажи, свобода или долг? Свобода или долг?",сказать свобода или долг свобода или долг
"Свобода или долг, долг?",свобода или долг долг
"Я не знаю до сих пор, как мне ответить на вопрос",я не знать до сей пора как я ответить на вопрос
Что мы вместе или врозь? Ненависть или любовь?,что мы вместе или врозь ненависть или любовь
"Скажи, свобода или долг? Свобода или долг?",сказать свобода или долг свобода или долг
"Свобода или долг, долг?",свобода или долг долг
Мы больше не делим постель на двоих — мы теперь в порознь,мы большой не делимый постель на двое мы теперь в порознь
Температура упала по цельсию приблизительно до нуля,температура упасть по цельсий приблизительно до нуль
Наступят холода осенние и листики с тополя,наступить холод осенний и листик с тополь
"Любимая, знаешь, ты моя тень — тень Чернобыля",любимый знать ты мой тень тень чернобыль
"Я тебе был недодруг, потом стал просто друг",я ты быть недодруг потом стать просто друг
"Теперь я передруг, кстати, Lida мне не друг",теперь я передруг кстати lida я не друг
"Раньше я трахал сук (секс), теперь ебу в рот вокзал",ранний я трахать сука секс теперь ебу в рот вокзал
"Людей и поезда, посмотри, кем я стал",человек и поезд посмотреть кто я стать
"Это всё любовь к тебе — чистая, как небо",это всё любовь к ты чистый как небо
"Над зоной отчуждения, кто я? Что я? Где я?",над зона отчуждение кто я что я где я
"Ты не задавай вопросов, Ксения, это меня кипятит",ты не задавать вопрос ксения это я кипятить
"Я всё чаще слышу зов, и это зов Припяти",я всё частый слышать зов и это зов припять
"Появился, значит, в Зоне чёрный сталкер",появиться значит в зона чёрный сталкер
В лагере он ночью попытался приходить и там,в лагер он ночью попытаться приходить и там
"Суёт руку в палатку и говорит: ""Водички! Попить!""",совать рука в палатка и говорить водичка попить
"Я не знаю до сих пор, как мне ответить на вопрос",я не знать до сей пора как я ответить на вопрос
Что мы вместе или врозь? Ненависть или любовь?,что мы вместе или врозь ненависть или любовь
"Скажи, свобода или долг? Свобода или долг?",сказать свобода или долг свобода или долг
"Свобода или долг, долг?",свобода или долг долг
"Я не знаю до сих пор, как мне ответить на вопрос",я не знать до сей пора как я ответить на вопрос
Что мы вместе или врозь? Ненависть или любовь?,что мы вместе или врозь ненависть или любовь
"Скажи, свобода или долг? Свобода или долг?",сказать свобода или долг свобода или долг
"Свобoда или долг, долг?",свобoд или долг долг
"Привет, Эльдар!",привет эльдар
"Помнишь, когда ты предлагал мне фит на эту песню, ты сказал, что она будет звучать, как Imperial?",помнить когда ты предлагать я фита на этот песня ты сказать что она быть звучать как imperial
"Спасибо за идею, ты просто гений (Па, па, пр-р-ра!)",спасибо за идея ты просто гений па па
"Все твои треки в двух частях — это круто, правда (-Кей!)",всё твой трек в два часть это круто правда
"Футболка Prada без принта, а под ней Эльдарка (Воу)",футболка prada без принта а под она эльдарка воу
"Любой на свете хайп — хуйня, если в нём нет угара",любой на свет хайп хуйня если в он нет угар
"Да, пацан, твоего сына будут звать Карлson (Малыш)",да пацан твой сын быть звать карлson малыш
"А ты внезапно, как шизоид-псих",а ты внезапно как
Начнешь вопить песни Noize MC,начать вопить песня noize mc
"Кстати, спасибо, что пришёл на стрим (Thank you)",кстати спасибо что прийти на стрим thank you
Теперь ты должен мне пятьсот писят тыщ,теперь ты должный я пятьсот писеть тысяча
(Эй),эй
"Ты подойди ко мне (Ко мне), и станет потеплей (Теплее)",ты подойти к я к я и стать потеплеть тёплый
"Малыш, я в шерстяном худи прижму тебя к себе (Эй)",малыш я в шерстяной худить прижать ты к себя эй
"Все свои проблемы (А, а) удаляй при мне",всё свой проблема а а удалять при я
"Малыш, я в шерстяном худи прижму тебя к себе",малыш я в шерстяной худить прижать ты к себя
"Ты вёл TikTok, а я задрачивал хип-хоп (Ага)",ты вести tiktok а я задрачивал ага
"Ты устраивал детсад, а я отсрачивал твой долг (Я отсрачивал твой долг)",ты устраивать детсад а я отсрачивать твой долг я отсрачивать твой долг
"И даже Морген подтвердит, что лживый карлик бомж врёт",и даже морген подтвердить что лживый карлик бомж врать
(Сто тыщ рублей за твой пиздёж),сто тысяча рубль за твой пиздёжа
"Андрюха, я не Клара, но у меня тоже Карл украл (Е)",андрюха я не клара но у я тоже карл украсть быть
"У них там Карловы Вары, у нас тут Карлы воры",у они там карлов вар у мы тут карл вор
И я скажу тебе — неправ был ЛСП Олег,и я сказать ты неправый быть лсп олег
"Ведь крысой был Карл IV, а не Людовик, Крез",ведь крыса быть карл iv а не людовик крёз
"Все как на подбор, только ты карлик (Ты)",всё как на подбор только ты карлик ты
"Джарахов, ты умрёшь за то, что ты украл сценарий",джараховый ты умереть за то что ты украсть сценарий
"Думаешь, круто (А?) снять четырёх эскортниц? (М-м)",думать круто а снять четыре эскортница
"Ладно, кайфуй пока, братанчик",ладный кайфовать пока братанчик
Скоро ты сдохнешь!,скоро ты сдохнуть
Ведь у тебя диабет (Диабет),ведь у ты диабет диабет
"А ты, балбес, куришь и пьёшь (Ты пьёшь)",а ты балбес курить и пить ты пить
"Такой весенний день, что я чуть не забыл про базу",такой весенний день что я чуть не забыть про база
Джарахов!,джараховый
(Сто тыщ рублей за твой пиздёж),сто тысяча рубль за твой пиздёжа
"Присядь, недорэперок",присесть недорэпёрка
Я тут лакомый кусочек напоследок приберёг (Как всегда),я тут лакомый кусочек напоследок приберечь как всегда
"Мы все делим пирог (Да), но ты его украл...",мы всё делимый пирог да но ты он украсть
"Чел, ты жалкий и ты вор",чел ты жалкий и ты вор
В первый раз ты посмотрел на себя в зеркало,в первый раз ты посмотреть на себя в зеркало
"С ужасом хочешь спастись, но спасать некому",с ужас хотеть спастись но спасать некого
В углу огромной хаты в шмотках брендовых,в угол огромный хата в шмотки брендовый
Напиши тречок о жизни своей обрезанной,написать тречок о жизнь свой обрезать
"Снова напиваюсь, снова кричу в Телеграме",снова напиваться снова кричать в телеграм
"Снова вру себе о том, что меня много кто знает",снова врать себя о тот что я много кто знать
"Я двигаюсь дальше, Даня наблюдает",я двигаться далёкий даня наблюдать
"Е, е",быть быть
"Джарахов! (Пу, пу)",джараховый пу пу
Карл у Клары украл кораллы (Ага),карл у клара украсть коралл ага
Клара у Карла украла кларнет,клара у карла украсть кларнет
Вот такая вот карликовая драма (Э),вот такой вот карликовый драма э
"Один и без друзей, но с тобой диабет (Ха-ха-ха)",один и без друг но с ты диабет
"С тобой диатез, со мной Пирокинез (Андрюха)",с ты диатез с я пирокинез андрюха
"С тобой Ильич, при нём ты Карл Маркс",с ты ильич при он ты карл маркс
"Ты слаб, как стрекоза или как Пекинес (Yes)",ты слабый как стрекоза или как пекинес yes
Но я тебя заставляю отдать капитал (Дашь),но я ты заставлять отдать капитал дать
"Твой рост не выше, чем любит хуй Ивлеева (Маленький)",твой рост не выше чем любить хуй ивлеева маленький
Ты пацанам помочь не сможешь подсесть на дерево,ты пацан помочь не смочь подсесть на дерево
И твоё имя помнит лишь Замай Андрей,и твой имя помнить лишь замай андрей
Ведь ты мне уже должен сто пятьдесят тысяч рублей!,ведь ты я уже должный сто пятьдесят тысяча рубль
А дальше — больше,а далёкий большой
(Эй),эй
"Ты подойди ко мне (Ко мне), и станет потеплей (Теплее)",ты подойти к я к я и стать потеплеть тёплый
"Малыш, я в шерстяном худи прижму тебя к себе (Эй)",малыш я в шерстяной худить прижать ты к себя эй
"Все свои проблемы (А, а) удаляй при мне",всё свой проблема а а удалять при я
"Малыш, я в шерстяном худи прижму тебя к себе",малыш я в шерстяной худить прижать ты к себя
"А-а! Кх-м, мц, а!",мц а
"Блять, а как я сюда попал?",блядь а как я сюда попасть
"А-а-а... М-м-м... гамарджоба, друзья",гамарджоба друг
Когда мы поём,когда мы поём
Когда мы поём,когда мы поём
Играет-играет музон,музона
И не спит район,и не спать район
Когда мы вдвоём,когда мы вдвоём
"Йоу, ходуном дом",йоу ходуном дом
И соседка вызывает ОМОН,и соседка вызывать омон
Когда мы поём,когда мы поём
Играет-играет музон,музона
И не спит район,и не спать район
Когда мы вдвоём,когда мы вдвоём
"Йоу, ходуном дом",йоу ходуном дом
И соседка вызывает ОМОН,и соседка вызывать омон
"Если хочешь, чтобы перестал кричать",если хотеть чтобы перестать кричать
Лучше тебе меня просто закопать,хороший ты я просто закопать
"Малышка, прыгай на кровать",малышка прыгать на кровать
Начинает накрывать,начинать накрывать
Над-Над-Надела ушки и теперь ты нэкочан,ушко и теперь ты нэкочан
Пришло время нам друг друга накачать (Накачать),прийти время мы друг друг накачать накачать
Мы так похожи на котят,мы так похожий на котёнок
Когда мы поём,когда мы поём
Когда мы поём,когда мы поём
Играет-играет музон,музона
И не спит район,и не спать район
Когда мы вдвоём,когда мы вдвоём
"Йоу, ходуном дом",йоу ходуном дом
И соседка вызывает ОМОН,и соседка вызывать омон
Когда мы поём,когда мы поём
Играет-играет музон,музона
И не спит район,и не спать район
Когда мы вдвоём,когда мы вдвоём
"Йоу, ходуном дом",йоу ходуном дом
И соседка вызывает ОМОН,и соседка вызывать омон
Вызов принят,вызов принять
Значит весь отряд в пути,значит весь отряд в путь
Я растворяюсь в дыме и меня в нём не найти,я растворяться в дым и я в он не найти
"Ямайка снимай маечку, моя ты терапия",ямайка снимать маечка мой ты терапия
"Скоро все закончится, малышка, потерпи",скоро всё закончиться малышка потерпеть
Пиздец,пиздец
Начинается замес,начинаться замес
Ты беги-беги на стену,ты на стена
На бегу коснись небес,на бег коснуться небо
Долбит пяткой в пол на рейве,долбить пятка в пол на рейв
Полуголый Ахиллес,полуголый ахиллес
На меня палит медуза,на я палить медуза
Но я продолжаю дэнсить,но я продолжать дэнсить
О мой бог,о мой бог
Самый стильный выходной,самый стильный выходной
Электричество не кончится,электричество не кончиться
Можно тусить всю ночь,можно тусить весь ночь
Я люблю тебя,я любить ты
My pretty kitty,my pretty kitty
Тебе нужна помощь,ты нужный помощь
Я как Рики тики дико,я как рик тик дико
Придушу тебя как кобру,придушить ты как кобра
Когда мы поём,когда мы поём
Когда мы поём,когда мы поём
Играет-играет музон,музона
И не спит район,и не спать район
Когда мы вдвоём,когда мы вдвоём
"Йоу, ходуном дом",йоу ходуном дом
И соседка вызывает ОМОН,и соседка вызывать омон
Когда мы поём,когда мы поём
Играет-играет музон,музона
И не спит район,и не спать район
Когда мы вдвоём,когда мы вдвоём
"Йоу, ходуном дом",йоу ходуном дом
И соседка вызывает ОМОН,и соседка вызывать омон
И я тону,и я тон
И ты со мной утонешь,и ты с я утонуть
Затянет нас в толпу,затянуть мы в толпа
Никто нам не поможет,никто мы не помочь
"Вижу тебя в толпе, и ты в говно и я в говно",видеть ты в толпа и ты в говно и я в говно
"Я скажу: ""Типа хелло"" ты не поймешь и скажешь: ""Чё?""",я сказать тип хелло ты не понять и сказать что
А ты готов убивать? Из-за меня бить по лицу?,а ты готовый убивать я бить по лицо
"На тебе томатный коктейль, ты на полу, ты походу уснул",на ты томатный коктейль ты на пол ты поход уснуть
"Я улетаю со сцены вниз, прыгаю бомбочкой без акваланга",я улетать с сцена вниз прыгать бомбочка без акваланг
"И я влетаю в людей с ноги, могу дать локтем тебе в ебало",и я влетать в человек с нога мочь дать локоть ты в ебало
"Маленькая девочка Ксюша, специально заеду в лицо твоей шлюхе",маленький девочка ксюша специально заехать в лицо твой шлюха
"У тебя новые зубы, у меня старые кеды — давай их подружим",у ты новый зуб у я старый кед давать они подружить
И я тону,и я тон
И ты со мной утонешь,и ты с я утонуть
Затянет нас в толпу,затянуть мы в толпа
Никто нам не поможет,никто мы не помочь
"Видишь меня в толпе (в толпе), и ты в говно, и я в говно (у)",видеть я в толпа в толпа и ты в говно и я в говно у
"Завожу слэм, играет хардкор (е), завтра не вспомню ничо (чо)",заводить слэм играть хардкор быть завтра не вспомнить ничо что
"На движениях с пелёнок, в моем шоте тихо ждёт меня зелёный оленёнок",на движение с пелёнка в мой шота тихо ждать я зелёный оленёнок
На кроссовочках паленых раздавил свою печаль,на кроссовочек палёный раздавить свой печаль
"И забрал с собой девчонок (у, у, у)",и забрать с себя девчонка у у у
"Лида сказал: Ты мудак!, сука, значит это так",лида сказать ты мудак сука значит это так
"Оу, god, пока! Я погнал по кабакам",оу god пока я погнать по кабак
"Мой fase как плакат, скоро разъебашим клаб",мой fase как плакат скоро разъебашить клаб
"Это знает каждый город, где хоть раз я выступал",это знать каждый город где хоть раз я выступать
"Пау-пау, это музыка ада",это музыка ад
Новый Дио Black Sabbath,новый дио black sabbath
Я поднялся без бабок (no cash),я подняться без бабка no cash
"Да, я самый пиздатый",да я самый пиздатый
Беру шотик из бара,брать шотик из бар
"И танцую, как падла (а)",и танцевать как падло а
И я тону,и я тон
И ты со мной утонешь,и ты с я утонуть
Затянет нас в толпу,затянуть мы в толпа
Никто нам не поможет,никто мы не помочь
"Нажимай на Play, эй, медленней, быстрей",нажимать на play эй медленный быстрый
Файлики на флешке — наш большой секрет,файлик на флешка наш большой секрет
"Кадры secret home, прячу телефон",кадр secret home прятать телефон
"Эти файлы под паролем ""6-1-3-0""",этот файл под пароль
Нажимай на Play,нажимать на play
Не веди себя как ебанашка (ай),не вести себя как ебанашка ай
"Я ведь не святой, а ты не монашка",я ведь не святой а ты не монашка
"Это worldwide, сайты и плашки (чё?)",это worldwide сайт и плашка что
"Family business, классно, но страшно (классно)",family business классно но страшно классно
Ты кусаешь lips с ароматом Orbit (oh),ты кусать lips с аромат orbit oh
"Камера, мотор, ты чё такой скромный? (Тяу, тяу)",камера мотор ты что такой скромный тяу тяу
"Под эти диалоги, мы меняем позу doggy (ах)",под этот диалог мы менять поза doggy ах
"Схавал две таблетки molly, аж потеют ладони",схавал два таблетка molly аж потеть ладонь
"Воу, я кидаю на стол",воу я кидать на стол
"К чёрту этих соседей, мы ебёмся под фонк",к чёрт этот сосед мы ебиться под фонк
"Let's go, жопа, как у Джей Ло",let go жопа как у джей ло
И я сделал коачеллу тебе на лицо,и я сделать коачелла ты на лицо
"My, my, my, укусила за ушко",my my my укусить за ушко
